dataset,classifier_type,n_trees,n_features,train_time,infer_time,accuracy,feature_importance
hepatitis,random,1,1,0.0306,0.0055,0.8387,"{'age': 2, 'sex': 1, 'steroid': 1, 'antivirals': 2, 'fatigue': 0, 'malaise': 1, 'anorexia': 1, 'liver_big': 1, 'liver_firm': 0, 'spleen_palpable': 1, 'spiders': 2, 'ascites': 2, 'varices': 1, 'bilirubin': 2, 'alk_phosphate': 1, 'sgot': 1, 'albumin': 3, 'protime': 4, 'histology': 2, '__total__': 28}"
hepatitis,random,1,3,0.0364,0.0054,0.9355,"{'age': 1, 'sex': 1, 'steroid': 1, 'antivirals': 0, 'fatigue': 1, 'malaise': 0, 'anorexia': 1, 'liver_big': 1, 'liver_firm': 1, 'spleen_palpable': 0, 'spiders': 1, 'ascites': 2, 'varices': 0, 'bilirubin': 3, 'alk_phosphate': 3, 'sgot': 1, 'albumin': 1, 'protime': 1, 'histology': 0, '__total__': 19}"
hepatitis,random,1,4,0.0268,0.0048,0.8387,"{'age': 0, 'sex': 1, 'steroid': 0, 'antivirals': 0, 'fatigue': 1, 'malaise': 1, 'anorexia': 1, 'liver_big': 0, 'liver_firm': 0, 'spleen_palpable': 0, 'spiders': 1, 'ascites': 0, 'varices': 1, 'bilirubin': 2, 'alk_phosphate': 1, 'sgot': 1, 'albumin': 2, 'protime': 1, 'histology': 1, '__total__': 14}"
hepatitis,random,1,5,0.0318,0.0044,0.871,"{'age': 1, 'sex': 0, 'steroid': 1, 'antivirals': 0, 'fatigue': 0, 'malaise': 0, 'anorexia': 1, 'liver_big': 0, 'liver_firm': 0, 'spleen_palpable': 0, 'spiders': 1, 'ascites': 1, 'varices': 0, 'bilirubin': 3, 'alk_phosphate': 1, 'sgot': 2, 'albumin': 0, 'protime': 1, 'histology': 0, '__total__': 12}"
hepatitis,random,10,1,0.298,0.0397,0.9032,"{'age': 15, 'sex': 11, 'steroid': 13, 'antivirals': 7, 'fatigue': 12, 'malaise': 11, 'anorexia': 15, 'liver_big': 11, 'liver_firm': 19, 'spleen_palpable': 13, 'spiders': 14, 'ascites': 11, 'varices': 8, 'bilirubin': 19, 'alk_phosphate': 22, 'sgot': 14, 'albumin': 25, 'protime': 22, 'histology': 10, '__total__': 272}"
hepatitis,random,10,3,0.2924,0.0383,0.9677,"{'age': 15, 'sex': 6, 'steroid': 12, 'antivirals': 2, 'fatigue': 4, 'malaise': 8, 'anorexia': 5, 'liver_big': 5, 'liver_firm': 6, 'spleen_palpable': 7, 'spiders': 7, 'ascites': 9, 'varices': 5, 'bilirubin': 22, 'alk_phosphate': 13, 'sgot': 20, 'albumin': 21, 'protime': 19, 'histology': 10, '__total__': 196}"
hepatitis,random,10,4,0.3135,0.0329,0.9032,"{'age': 13, 'sex': 3, 'steroid': 8, 'antivirals': 0, 'fatigue': 2, 'malaise': 5, 'anorexia': 1, 'liver_big': 7, 'liver_firm': 8, 'spleen_palpable': 7, 'spiders': 8, 'ascites': 6, 'varices': 5, 'bilirubin': 28, 'alk_phosphate': 19, 'sgot': 11, 'albumin': 22, 'protime': 10, 'histology': 7, '__total__': 170}"
hepatitis,random,10,5,0.391,0.0377,0.9032,"{'age': 14, 'sex': 6, 'steroid': 8, 'antivirals': 1, 'fatigue': 3, 'malaise': 4, 'anorexia': 6, 'liver_big': 1, 'liver_firm': 9, 'spleen_palpable': 5, 'spiders': 11, 'ascites': 9, 'varices': 8, 'bilirubin': 20, 'alk_phosphate': 20, 'sgot': 24, 'albumin': 16, 'protime': 16, 'histology': 2, '__total__': 183}"
hepatitis,random,25,1,0.7693,0.0931,0.871,"{'age': 53, 'sex': 18, 'steroid': 33, 'antivirals': 17, 'fatigue': 18, 'malaise': 26, 'anorexia': 26, 'liver_big': 24, 'liver_firm': 23, 'spleen_palpable': 28, 'spiders': 25, 'ascites': 28, 'varices': 22, 'bilirubin': 45, 'alk_phosphate': 51, 'sgot': 60, 'albumin': 51, 'protime': 48, 'histology': 31, '__total__': 627}"
hepatitis,random,25,3,0.7861,0.0834,0.9355,"{'age': 48, 'sex': 6, 'steroid': 22, 'antivirals': 11, 'fatigue': 15, 'malaise': 21, 'anorexia': 11, 'liver_big': 10, 'liver_firm': 17, 'spleen_palpable': 17, 'spiders': 21, 'ascites': 16, 'varices': 19, 'bilirubin': 60, 'alk_phosphate': 52, 'sgot': 60, 'albumin': 53, 'protime': 43, 'histology': 13, '__total__': 515}"
hepatitis,random,25,4,0.8954,0.0821,0.9032,"{'age': 47, 'sex': 9, 'steroid': 9, 'antivirals': 6, 'fatigue': 9, 'malaise': 19, 'anorexia': 11, 'liver_big': 9, 'liver_firm': 11, 'spleen_palpable': 16, 'spiders': 23, 'ascites': 12, 'varices': 13, 'bilirubin': 61, 'alk_phosphate': 45, 'sgot': 50, 'albumin': 48, 'protime': 37, 'histology': 19, '__total__': 454}"
hepatitis,random,25,5,0.9235,0.0809,0.9677,"{'age': 48, 'sex': 6, 'steroid': 17, 'antivirals': 5, 'fatigue': 10, 'malaise': 11, 'anorexia': 7, 'liver_big': 9, 'liver_firm': 9, 'spleen_palpable': 16, 'spiders': 24, 'ascites': 19, 'varices': 19, 'bilirubin': 53, 'alk_phosphate': 39, 'sgot': 35, 'albumin': 50, 'protime': 33, 'histology': 21, '__total__': 431}"
hepatitis,random,50,1,1.6493,0.1919,0.9032,"{'age': 93, 'sex': 51, 'steroid': 73, 'antivirals': 43, 'fatigue': 50, 'malaise': 76, 'anorexia': 50, 'liver_big': 52, 'liver_firm': 80, 'spleen_palpable': 58, 'spiders': 71, 'ascites': 54, 'varices': 52, 'bilirubin': 116, 'alk_phosphate': 120, 'sgot': 117, 'albumin': 98, 'protime': 89, 'histology': 63, '__total__': 1406}"
hepatitis,random,50,3,1.4913,0.1552,0.9032,"{'age': 86, 'sex': 25, 'steroid': 39, 'antivirals': 8, 'fatigue': 20, 'malaise': 44, 'anorexia': 27, 'liver_big': 32, 'liver_firm': 20, 'spleen_palpable': 34, 'spiders': 40, 'ascites': 40, 'varices': 29, 'bilirubin': 107, 'alk_phosphate': 91, 'sgot': 85, 'albumin': 100, 'protime': 88, 'histology': 42, '__total__': 957}"
hepatitis,random,50,4,1.7273,0.154,0.9032,"{'age': 116, 'sex': 17, 'steroid': 28, 'antivirals': 3, 'fatigue': 21, 'malaise': 23, 'anorexia': 22, 'liver_big': 21, 'liver_firm': 31, 'spleen_palpable': 28, 'spiders': 42, 'ascites': 38, 'varices': 26, 'bilirubin': 112, 'alk_phosphate': 106, 'sgot': 104, 'albumin': 123, 'protime': 65, 'histology': 32, '__total__': 958}"
hepatitis,random,50,5,1.7765,0.1488,0.9032,"{'age': 83, 'sex': 13, 'steroid': 26, 'antivirals': 10, 'fatigue': 13, 'malaise': 25, 'anorexia': 20, 'liver_big': 18, 'liver_firm': 17, 'spleen_palpable': 24, 'spiders': 32, 'ascites': 25, 'varices': 31, 'bilirubin': 102, 'alk_phosphate': 74, 'sgot': 88, 'albumin': 103, 'protime': 66, 'histology': 23, '__total__': 793}"
hepatitis,random,75,1,2.4564,0.2835,0.9355,"{'age': 172, 'sex': 59, 'steroid': 99, 'antivirals': 62, 'fatigue': 76, 'malaise': 100, 'anorexia': 90, 'liver_big': 69, 'liver_firm': 105, 'spleen_palpable': 82, 'spiders': 111, 'ascites': 73, 'varices': 87, 'bilirubin': 166, 'alk_phosphate': 166, 'sgot': 183, 'albumin': 159, 'protime': 123, 'histology': 88, '__total__': 2070}"
hepatitis,random,75,3,2.3183,0.2428,0.9032,"{'age': 155, 'sex': 26, 'steroid': 53, 'antivirals': 20, 'fatigue': 32, 'malaise': 49, 'anorexia': 30, 'liver_big': 32, 'liver_firm': 52, 'spleen_palpable': 49, 'spiders': 77, 'ascites': 65, 'varices': 49, 'bilirubin': 160, 'alk_phosphate': 140, 'sgot': 144, 'albumin': 124, 'protime': 112, 'histology': 65, '__total__': 1434}"
hepatitis,random,75,4,2.349,0.2335,0.9032,"{'age': 132, 'sex': 17, 'steroid': 44, 'antivirals': 17, 'fatigue': 29, 'malaise': 45, 'anorexia': 41, 'liver_big': 38, 'liver_firm': 47, 'spleen_palpable': 51, 'spiders': 67, 'ascites': 43, 'varices': 50, 'bilirubin': 149, 'alk_phosphate': 121, 'sgot': 119, 'albumin': 170, 'protime': 99, 'histology': 50, '__total__': 1329}"
hepatitis,random,75,5,2.6487,0.2171,0.871,"{'age': 139, 'sex': 23, 'steroid': 29, 'antivirals': 11, 'fatigue': 28, 'malaise': 48, 'anorexia': 31, 'liver_big': 25, 'liver_firm': 37, 'spleen_palpable': 31, 'spiders': 71, 'ascites': 40, 'varices': 31, 'bilirubin': 147, 'alk_phosphate': 129, 'sgot': 132, 'albumin': 126, 'protime': 102, 'histology': 41, '__total__': 1221}"
hepatitis,random,100,1,3.0983,0.3658,0.9677,"{'age': 226, 'sex': 95, 'steroid': 147, 'antivirals': 96, 'fatigue': 89, 'malaise': 121, 'anorexia': 104, 'liver_big': 106, 'liver_firm': 123, 'spleen_palpable': 128, 'spiders': 125, 'ascites': 90, 'varices': 98, 'bilirubin': 200, 'alk_phosphate': 227, 'sgot': 207, 'albumin': 228, 'protime': 189, 'histology': 123, '__total__': 2722}"
hepatitis,random,100,3,3.0402,0.319,0.9677,"{'age': 201, 'sex': 46, 'steroid': 80, 'antivirals': 26, 'fatigue': 55, 'malaise': 90, 'anorexia': 62, 'liver_big': 67, 'liver_firm': 74, 'spleen_palpable': 60, 'spiders': 116, 'ascites': 58, 'varices': 57, 'bilirubin': 215, 'alk_phosphate': 196, 'sgot': 216, 'albumin': 235, 'protime': 154, 'histology': 88, '__total__': 2096}"
hepatitis,random,100,4,3.2881,0.3063,0.9355,"{'age': 209, 'sex': 43, 'steroid': 58, 'antivirals': 16, 'fatigue': 51, 'malaise': 73, 'anorexia': 57, 'liver_big': 48, 'liver_firm': 68, 'spleen_palpable': 54, 'spiders': 88, 'ascites': 56, 'varices': 47, 'bilirubin': 226, 'alk_phosphate': 157, 'sgot': 164, 'albumin': 183, 'protime': 158, 'histology': 63, '__total__': 1819}"
hepatitis,random,100,5,3.3099,0.28,0.8387,"{'age': 160, 'sex': 18, 'steroid': 50, 'antivirals': 14, 'fatigue': 31, 'malaise': 58, 'anorexia': 34, 'liver_big': 44, 'liver_firm': 36, 'spleen_palpable': 45, 'spiders': 76, 'ascites': 57, 'varices': 29, 'bilirubin': 220, 'alk_phosphate': 163, 'sgot': 136, 'albumin': 174, 'protime': 132, 'histology': 58, '__total__': 1535}"
nursery,random,1,1,1.9837,0.607,0.8557,"{'parents': 207, 'has_nurs': 418, 'form': 137, 'children': 256, 'housing': 177, 'finance': 57, 'social': 15, 'health': 384, '__total__': 1651}"
nursery,random,1,2,0.7802,0.5014,0.9433,"{'parents': 52, 'has_nurs': 67, 'form': 138, 'children': 88, 'housing': 137, 'finance': 49, 'social': 107, 'health': 55, '__total__': 693}"
nursery,random,1,3,0.7347,0.5378,0.9633,"{'parents': 31, 'has_nurs': 80, 'form': 83, 'children': 87, 'housing': 84, 'finance': 47, 'social': 77, 'health': 51, '__total__': 540}"
nursery,random,1,4,0.6797,0.5044,0.9726,"{'parents': 38, 'has_nurs': 30, 'form': 78, 'children': 89, 'housing': 29, 'finance': 22, 'social': 71, 'health': 51, '__total__': 408}"
nursery,random,10,1,18.8263,5.8132,0.9676,"{'parents': 1730, 'has_nurs': 2699, 'form': 2117, 'children': 1632, 'housing': 1413, 'finance': 688, 'social': 1540, 'health': 3852, '__total__': 15671}"
nursery,random,10,2,9.7031,5.2168,0.9938,"{'parents': 707, 'has_nurs': 1205, 'form': 1376, 'children': 1067, 'housing': 1056, 'finance': 631, 'social': 933, 'health': 1523, '__total__': 8498}"
nursery,random,10,3,6.9725,4.6308,0.9973,"{'parents': 372, 'has_nurs': 714, 'form': 1008, 'children': 818, 'housing': 589, 'finance': 513, 'social': 643, 'health': 482, '__total__': 5139}"
nursery,random,10,4,6.2805,4.2915,0.9973,"{'parents': 290, 'has_nurs': 363, 'form': 777, 'children': 704, 'housing': 483, 'finance': 393, 'social': 400, 'health': 217, '__total__': 3627}"
nursery,random,25,1,43.2992,13.6615,0.9796,"{'parents': 3872, 'has_nurs': 6652, 'form': 4524, 'children': 4950, 'housing': 3389, 'finance': 1453, 'social': 3638, 'health': 9191, '__total__': 37669}"
nursery,random,25,2,24.996,12.8604,0.9954,"{'parents': 2108, 'has_nurs': 3472, 'form': 3076, 'children': 2882, 'housing': 2357, 'finance': 1862, 'social': 2149, 'health': 3856, '__total__': 21762}"
nursery,random,25,3,17.44,11.112,0.9961,"{'parents': 1235, 'has_nurs': 1627, 'form': 2406, 'children': 2189, 'housing': 1802, 'finance': 1331, 'social': 1340, 'health': 1114, '__total__': 13044}"
nursery,random,25,4,15.3671,10.4599,0.9992,"{'parents': 572, 'has_nurs': 1001, 'form': 1848, 'children': 1747, 'housing': 1212, 'finance': 947, 'social': 1009, 'health': 429, '__total__': 8765}"
nursery,random,50,1,101.8841,30.5551,0.9811,"{'parents': 9204, 'has_nurs': 13876, 'form': 9573, 'children': 9473, 'housing': 7352, 'finance': 3415, 'social': 7514, 'health': 21207, '__total__': 81614}"
nursery,random,50,2,49.7844,25.1892,0.9969,"{'parents': 4242, 'has_nurs': 6565, 'form': 6832, 'children': 6118, 'housing': 4480, 'finance': 3246, 'social': 4325, 'health': 7661, '__total__': 43469}"
nursery,random,50,3,35.8508,22.1206,0.9985,"{'parents': 1839, 'has_nurs': 2861, 'form': 5024, 'children': 4189, 'housing': 3557, 'finance': 2493, 'social': 2999, 'health': 3101, '__total__': 26063}"
nursery,random,50,4,31.0644,21.6034,0.9981,"{'parents': 1369, 'has_nurs': 2003, 'form': 3776, 'children': 3299, 'housing': 2204, 'finance': 1855, 'social': 1941, 'health': 1033, '__total__': 17480}"
nursery,random,75,1,141.5689,41.7957,0.9888,"{'parents': 12868, 'has_nurs': 22065, 'form': 13447, 'children': 14864, 'housing': 10593, 'finance': 4785, 'social': 11378, 'health': 29745, '__total__': 119745}"
nursery,random,75,2,72.8997,37.6181,0.9973,"{'parents': 6079, 'has_nurs': 9657, 'form': 9984, 'children': 8781, 'housing': 6913, 'finance': 5123, 'social': 6788, 'health': 10196, '__total__': 63521}"
nursery,random,75,3,54.2853,35.1383,0.9981,"{'parents': 3465, 'has_nurs': 4979, 'form': 7678, 'children': 6837, 'housing': 4467, 'finance': 3667, 'social': 4546, 'health': 4935, '__total__': 40574}"
nursery,random,75,4,47.689,32.3083,0.9992,"{'parents': 1969, 'has_nurs': 2618, 'form': 5817, 'children': 5049, 'housing': 4003, 'finance': 3143, 'social': 2742, 'health': 1401, '__total__': 26742}"
nursery,random,100,1,183.2779,56.9543,0.9896,"{'parents': 18825, 'has_nurs': 28084, 'form': 17964, 'children': 18244, 'housing': 15176, 'finance': 6434, 'social': 13871, 'health': 37462, '__total__': 156060}"
nursery,random,100,2,100.5444,51.0121,0.9938,"{'parents': 7679, 'has_nurs': 13654, 'form': 13468, 'children': 11841, 'housing': 9538, 'finance': 6648, 'social': 9543, 'health': 15960, '__total__': 88331}"
nursery,random,100,3,69.6816,44.0344,0.9985,"{'parents': 4243, 'has_nurs': 6763, 'form': 10066, 'children': 8611, 'housing': 6441, 'finance': 5047, 'social': 6256, 'health': 5565, '__total__': 52992}"
nursery,random,100,4,64.3259,43.5373,0.9988,"{'parents': 2417, 'has_nurs': 3513, 'form': 7799, 'children': 6780, 'housing': 4891, 'finance': 3874, 'social': 4034, 'health': 2133, '__total__': 35441}"
